,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
5590,0.54,0.07,0.07,1.06,0.04,0.04,2.930289,4e-06,4e-06,3586.0,88.0,88.0,0.54,0.02,0.02
5608,0.802,0.384,0.371,0.961,0.042,0.048,2.0028490000000003,4e-06,4e-06,3996.0,88.0,88.0,0.6659999999999999,0.025,0.025
5614,0.5760000000000001,0.34600000000000003,0.406,0.9229999999999999,0.05,0.055999999999999994,2.2035373,8.400000000000001e-06,8.400000000000001e-06,3896.0,88.0,88.0,0.556,0.022000000000000002,0.022000000000000002
5615,1.463,0.096,0.1,1.02,0.29,0.71,1.651144,1.8e-05,1.8e-05,5666.0,100.0,100.0,1.1,0.1,0.1
5627,1.17,0.09,0.09,1.22,0.03,0.03,4.023687000000001,3e-06,3e-06,6004.0,110.0,110.0,1.04,0.13,0.13
5628,1.635,0.032,0.032,1.284,0.098,0.098,5.7987,0.0004,0.0004,6223.0,100.0,100.0,1.548,0.085,0.027000000000000003
5629,0.7979999999999999,0.075,0.075,1.063,0.042,0.042,2.576184,2e-06,2e-06,3635.0,88.0,88.0,0.514,0.022000000000000002,0.025
5636,1.05,0.06,0.06,1.28,0.03,0.03,2.3926790000000002,2e-06,2e-06,5816.0,110.0,110.0,1.09,0.138,0.138
5645,1.04,0.094,0.094,1.0072,0.033,0.0366,1.79058695,8.7e-07,8.7e-07,3444.0,88.0,88.0,0.45799999999999996,0.011000000000000001,0.011000000000000001
5646,0.88,0.16,0.16,1.771,0.06,0.06,5.0037775,4.8e-06,4.8e-06,6460.0,150.0,130.0,1.536,0.076,0.069
5697,1.1,0.08,0.08,1.255,0.04,0.04,3.2797178,1.4e-06,1.4e-06,5842.0,80.0,80.0,1.08,0.07,0.076
5703,0.667,0.042,0.042,1.171,0.053,0.053,3.739494,3.8e-05,3.8e-05,5300.0,100.0,100.0,0.85,0.1,0.1
5719,0.7609999999999999,0.05,0.05,1.099,0.035,0.035,3.0300722,2e-07,2e-07,5242.82,108.9,112.6,0.8959999999999999,0.0957,0.11800000000000001
5720,1.253,0.052000000000000005,0.052000000000000005,1.189,0.025,0.025,2.4706133738,1.8700000000000002e-08,1.8700000000000002e-08,5850.0,50.0,50.0,0.98,0.062,0.062
5721,1.91,0.07,0.06,1.305,0.09,0.09,1.30618608,3.8e-07,3.8e-07,5720.0,150.0,150.0,0.924,0.04,0.04
5722,0.917,0.07,0.07,1.706,0.055999999999999994,0.055999999999999994,3.5539267999999997,3.2e-06,3.2e-06,6200.0,75.0,75.0,1.3880000000000001,0.042,0.042
5723,1.778,0.063,0.063,1.209,0.021,0.021,1.4822446000000002,7e-07,7e-07,5171.0,36.0,36.0,0.893,0.024,0.024
5742,0.5,0.004,0.004,1.36,0.04,0.04,3.5857076,1e-06,1e-06,6400.0,110.0,110.0,1.34,0.07,0.07
5743,0.621,0.133,0.133,1.33,0.05,0.05,2.709813,3e-07,3e-07,5990.0,100.0,100.0,1.08,0.07,0.07
5744,1.49,0.08800000000000001,0.08800000000000001,1.528,0.047,0.073,0.925542,1.9e-05,1.9e-05,6110.0,100.0,100.0,1.22,0.0039,0.0039
5745,1.272,0.047,0.047,1.137,0.037000000000000005,0.037000000000000005,1.7554136999999999,3.6000000000000003e-06,1.8000000000000001e-06,5450.0,130.0,130.0,1.02,0.09,0.09
5746,1.8,0.1,0.1,0.96,0.03,0.03,7.87288,1e-05,1e-05,5070.0,130.0,130.0,0.89,0.09,0.09
5747,1.925,0.076,0.076,1.085,0.027999999999999997,0.046,9.289715,1e-05,1e-05,6000.0,150.0,150.0,1.27,0.15,0.15
5750,1.167,0.091,0.092,1.215,0.04,0.04,2.6755463,2.1000000000000002e-06,2.1000000000000002e-06,6000.0,140.0,140.0,1.167,0.092,0.092
5751,0.91,0.13,0.13,1.443,0.053,0.053,3.3190233,4.2000000000000004e-06,4.2000000000000004e-06,6520.0,140.0,140.0,1.203,0.09,0.09
5753,0.515,0.064,0.064,1.238,0.055999999999999994,0.055999999999999994,3.7783976999999997,3.1e-06,3.1e-06,5400.0,140.0,140.0,0.892,0.07200000000000001,0.07200000000000001
5754,1.85,0.16,0.16,1.442,0.094,0.094,2.310965,3.4e-06,3.4e-06,6510.0,133.533,133.533,1.3359999999999999,0.21899999999999997,0.21899999999999997
5755,0.88,0.12,0.12,1.1909999999999998,0.049,0.049,3.0353992,3.8e-06,3.8e-06,5610.0,130.0,130.0,0.807,0.073,0.073
5757,1.7690000000000001,0.064,0.064,1.339,0.064,0.064,1.5487743,9.000000000000001e-07,1.2e-06,5940.0,140.0,140.0,1.2890000000000001,0.053,0.053
5758,0.64,0.14,0.14,1.22,0.06,0.06,6.6132,2e-06,2e-06,6250.0,125.0,125.0,1.25,0.08,0.08
5760,0.514,0.02,0.02,1.44,0.036000000000000004,0.036000000000000004,4.0460435,4.4e-06,4.4e-06,6404.0,100.92,145.18,1.29,0.1958,0.1958
5761,1.23,0.08,0.09,1.4,0.2,0.2,2.49979,1e-05,1e-05,5650.0,100.0,100.0,1.02,0.06,0.06
5763,1.1840000000000002,0.064,0.065,1.865,0.044000000000000004,0.044000000000000004,1.2749255,2.5e-07,2.5e-07,6460.0,140.0,140.0,1.3530000000000002,0.079,0.06
5764,1.401,0.075,0.075,1.7919999999999998,0.069,0.069,1.7100567,3.6000000000000003e-06,3.6000000000000003e-06,5875.0,132.839,132.839,1.06,0.139,0.139
5765,0.92,0.05,0.05,1.327,0.07400000000000001,0.07400000000000001,2.977641,2.4e-06,2.4e-06,5737.0,141.15200000000002,141.15200000000002,1.025,0.126,0.126
5766,0.6,0.07,0.07,1.24,0.03,0.03,3.37265,1e-06,1e-06,6050.0,100.0,100.0,1.07,0.05,0.05
5770,1.0,0.1,0.1,0.93,0.03,0.03,5.748145,1e-06,1e-06,5900.0,100.0,100.0,1.0,0.03,0.03
5771,1.47,0.069,0.076,1.9,0.055,0.057,1.09141937,0.0,0.0,6360.0,140.0,130.0,1.4340000000000002,0.09,0.11
5777,1.16,0.09,0.09,1.21,0.05,0.05,2.1764229999999998,1e-06,1e-06,5700.0,100.0,100.0,1.16,0.08,0.08
